Publication Title,start date,end date,coverage notes,publication type
Barbados Gazette,1731-11-06,1731-11-06,"Newspaper; Bridgetown, Barbados",serial
Barbados Mercury,1780-10-28,1781-10-27,"Newspaper; Barbados, Barbados",serial
Bath Chronicle,1784-01-01,1796-07-14,"Newspaper; Bath, England",serial
Bath Herald,1793-08-03,1793-08-03,"Newspaper; Bath, England",serial
Bath Herald and Register,1797-01-21,1797-01-21,"Newspaper; Bath, England",serial
Bath Journal,1776-08-19,1793-01-07,"Newspaper; Bath, England",serial
Beginning of an History of the Life Reigne and Death of the Late King Charles,1652-01-01,1652-12-31,"Pamphlet; London, England",
Bell's Weekly Messenger,1796-05-01,1801-12-27,"Newspaper; London, England",serial
Best Way to Improve Money,1723-06-12,1723-06-12,"Broadside; London, England",serial
Bingley's Journal,1771-06-22,1772-08-22,"Newspaper; London, England",serial
Bingley's Journal Or the Universal Gazette (1770),1770-06-09,1770-08-04,"Newspaper; London, England",serial
Bingley's Journal Or Universal Gazette (1771),1771-02-23,1771-06-15,"Newspaper; London, England",serial
Bingley's London Journal,1772-08-29,1775-02-18,"Newspaper; London, England",serial
Bingley's Weekly Journal Or the Universal Gazette,1770-08-11,1771-02-23,"Newspaper; London, England",serial
Boston Gazette,1721-12-04,1722-05-21,"Newspaper; Boston , United States",serial
Bouchain in a Dialogue between the Late Medley and Examiner,1710-01-01,1710-12-31,"Pamphlet; London, England",
Brice's Weekly Journal,1725-04-30,1730-02-06,"Newspaper; Exeter, England",serial
Briefe Description of the Reasons That Make the Declaration of the Ban,1621-01-01,1621-12-31,"Pamphlet; London, England",
Briefe Relation of Some Affaires and Transactions,1649-01-01,1650-10-01,"Newsbook; London, England",serial
Bristol Journal Extraordinary,1776-04-08,1776-04-08,"Broadside; Bristol, England",serial
Bristol Oracle and Country Advertiser,1744-09-08,1744-09-08,"Newspaper; Bristol, England",serial
Bristol Oracle and Country Intelligencer,1744-04-14,1744-04-14,"Newspaper; Bristol, England",serial
Britain (1713),1713-01-06,1713-05-09,"Serial; London, England",serial
British Apollo,1710-03-24,1711-03-23,"Serial; London, England",serial
British Apollo (Annual),1708-02-13,1710-03-22,"Serial; London, England",serial
British Chronicle Or Pugh's Hereford Journal,1771-03-28,1780-09-07,"Newspaper; Hereford, England",serial
British Gazette and Sunday Monitor,1781-06-24,1783-02-09,"Newspaper; London, England",serial
British Journal (1722-1728),1722-09-22,1728-01-13,"Newspaper; London, England",serial
British Journal (1729),1729-11-29,1730-11-21,"Newspaper; London, England",serial
British Journal or The Censor,1728-01-20,1729-11-22,"Newspaper; London, England",serial
British Journal or The Traveller,1730-11-28,1731-03-20,"Newspaper; London, England",serial
British Mercury,1710-10-04,1715-01-05,"Newspaper; London, England",serial
British Mercury and Evening Advertiser,1780-11-16,1780-12-16,"Newspaper; London, England",serial
British Spy or New Universal London Weekly Journal,1755-08-02,1758-03-11,"Newspaper; London, England; coverage  02/08/1755 - 09/10/1756 and 16/10/1756 - 11/03/1758",serial
British Weekly Mercury,1715-01-12,1716-04-25,"Newspaper; London, England",serial
Briton,1762-05-29,1763-02-12,"Serial; London, England",serial
Busy Body,1759-10-09,1759-11-03,"Serial; London, England",serial
By the King a Proclamation to Summon the Persons Therein Named,1660-06-06,1660-06-06,"Broadside; London, England",serial
By the Queen a Proclamation For Calling A New Parliament,1713-08-17,1713-08-17,"Broadside; London, England",serial
Cabinet (1792),1792-01-02,1792-01-04,"Serial; London, England",serial
Calcutta Chronicle and General Advertiser,1788-01-03,1790-02-11,"Newspaper; Calcutta, India",serial
Cargo of Seven Ships from India,1678-08-01,1678-08-01,"Broadside; London, England",serial
Cargoe of the Charles the Second and Sampson (16 November 1694),1694-11-16,1694-11-16,"Broadside; London, England",serial
Cargoe of the Charles the Second and Sampson (28 December 1694),1694-12-28,1694-12-28,"Broadside; London, England",serial
Cargoe of the Dorothy from Fort St George,1693-08-25,1693-08-25,"Broadside; London, England",serial
Cargoe of the Martha from Fort St George,1699-08-30,1699-08-30,"Broadside; London, England",serial
Cargoes of the Atlantic,1785-01-01,1785-12-31,"Broadside; London, England",serial
Cargoes of the Barwell,1799-09-30,1799-09-30,"Broadside; London, England",serial
Cargoes of the Hudson Bay Company's Ships,1799-11-20,1799-11-20,"Broadside; London, England",serial
Cargoes of the Lascelles,1785-01-01,1785-12-31,"Broadside; London, England",serial
Catholick Intelligence Or Infallible News Both Domestick & Forreign,1680-03-01,1680-03-29,"Newspaper; London, England",serial
Censor,1717-04-30,1717-04-30,"Serial; London, England",serial
Centinel,1757-01-06,1757-07-06,"Serial; London, England",serial
Certaine Informations from Severall Parts of the Kingdome,1643-02-06,1644-01-08,"Newsbook; London, England",serial
Champion Or Evening Advertiser,1740-05-27,1742-08-31,"Newspaper; London, England",serial
Charitable Mercury and Female Intelligence,1716-04-07,1716-04-07,"Serial; London, England",serial
Chester Chronicle and General Advertiser,1779-10-01,1784-05-19,"Newspaper; Chester, England",serial
Chester Chronicle Or Commercial Intelligencer,1775-05-02,1779-06-11,"Newspaper; Chester, England",serial
Christian Priest,1720-06-03,1720-06-10,"Serial; London, England",serial
Christianissimus Christianandus,1676-01-01,1676-12-31,"Monograph; London, England",monograph
Church Man or Loyalist's Weekly Journal,1720-10-29,1720-10-29,"Serial; London, England",serial
Church Man's Last Shift or The Loyalist's Weekly Journal,1720-06-11,1720-06-18,"Serial; London, England",serial
Citizen or Morning Post,1756-09-16,1756-09-23,"Newspaper; London, England",serial
Citties Weekly Post,1645-12-23,1646-02-10,"Newsbook; London, England",serial
City Mercury,1692-07-04,1694-12-10,"Newspaper; London, England",serial
City Mercury or Advertisements Concerning Trade,1675-11-04,1676-02-03,"Newspaper; London, England",serial
City-Scout,1645-09-30,1645-10-07,"Newsbook; London, England",serial
Colchester Spie,1648-08-14,1648-08-14,"Newsbook; Colchester, England",serial
Collection for Improvement of Husbandry and Trade,1692-03-30,1702-08-14,"Serial; London, England",serial
Collection of the Several Addresses in the Late King James's Time,1710-01-01,1710-12-31,"Pamphlet; London, England",
Common Sense or The Englishman's Journal,1737-02-05,1743-11-26,"Newspaper; London, England",serial
Compleat Set of St James's Journals,1722-05-03,1723-05-18,"Serial; London, England",serial
Con-Test,1756-11-23,1757-08-06,"Serial; London, England",serial
Connoisseur (Collected Issues),1754-01-31,1756-04-15,"Serial; London, England",serial
Constitutional Guardian,1770-11-17,1770-11-17,"Serial; London, England",serial
Continuation of An History of the Life Reigne and Death of the Late King Charles,1652-01-01,1652-12-31,"Pamphlet; London, England",
Continuation of Certain Speciall and Remarkable Passages from Both Houses of Parliament (Coles and Leach),1642-09-16,1646-01-02,"Newsbook; London, England",serial
Continuation of Certain Speciall and Remarkable Passages from Both Houses of Parliament (Cooke and Wood),1642-11-24,1643-06-08,"Newsbook; London, England",serial
Continuation of Certain Speciall and Remarkable Passages Informed to the Parliament (1644),1644-02-08,1644-04-25,"Newsbook; London, England",serial
Continuation of Certain Speciall and Remarkable Passages Informed to the Parliament (1645),1645-10-03,1646-02-06,"Newsbook; London, England",serial
Continuation of Our Weekly Intelligence from His Majesties Army,1642-09-12,1642-09-12,"Newsbook; London, England",serial
Continuation of the True Diurnall of Passages in Parliament,1641-01-17,1641-03-23,"Newsbook; London, England",serial
Contra-Replicant His Complaint to His Majestie,1643-01-01,1643-12-31,"Monograph; London, England",monograph
Controller,1714-10-08,1715-12-31,"Serial; London, England",serial
Conventicle Courant,1682-08-14,1682-08-14,"Newspaper; London, England",serial
Convocation Speech by Mr Thomas Warmstry,1641-01-01,1641-12-31,"Pamphlet; London, England",
Copy of a Letter Sent from the Committee At Lincoln,1642-06-06,1642-06-06,"Broadside; London, England",serial
Coranto Relating Divers Particulars Concerning the Newes out of Italy Spaine Turkey,1622-10-01,1622-11-07,"Newsbook; London, England",serial
Corn Cutter's Journal,1733-11-06,1735-03-25,"Newspaper; London, England",serial
Corso Corrente Delle Seguenti Mercanzie Nel Porto Franco di Livorno (Giacomo Duclou),1797-05-15,1797-05-19,"Form; London, England",serial
Country Gentleman,1726-05-06,1726-09-30,"Serial; London, England",serial
Country Journal or The Craftsman,1727-05-13,1750-09-15,"Newspaper; London, England",serial
Courante of Newes from the East India,1620-01-01,1620-12-31,"Pamphlet; London, England",
Courier,1792-12-31,1793-07-27,"Newspaper; London, England",serial
Courier and Evening Gazette,1793-11-27,1800-12-31,"Newspaper; London, England",serial
Courier de L'europe,1785-01-14,1785-01-14,"Newspaper; London, England",serial
Courier Politique et Litteraire,1778-02-24,1778-02-24,"Newspaper; London, England",serial
Court Mercurie,1644-07-20,1644-09-25,"Newsbook; London, England",serial
Court of Directors of the United Company of Merchants of England (13 December 1786),1786-12-13,1786-12-13,"Broadside; London, England",serial
Court of Directors of the United Company of Merchants of England (15 November 1797),1797-11-15,1797-11-15,"Broadside; London, England",serial
Court of Directors of the United Company of Merchants of England (24 July 1799),1799-07-24,1799-07-24,"Broadside; London, England",serial
Court of Directors of the United Company of Merchants of England (25 May 1798),1798-05-25,1798-05-25,"Broadside; London, England",serial
Court of Directors of the United Company of Merchants of England (3 April 1798),1798-04-03,1798-04-03,"Broadside; London, England",serial
Court of Directors of the United Company of Merchants of England (31 July 1799),1799-07-31,1799-07-31,"Broadside; London, England",serial
Court of Directors of the United Company of Merchants of England (4 November 1795),1795-11-04,1795-11-04,"Broadside; London, England",serial
Court of Directors of the United Company of Merchants of England (6 June 1798),1798-06-06,1798-06-06,"Broadside; London, England",serial
Court of Directors of the United Company of Merchants of England (9 December 1795),1795-12-09,1795-12-09,"Broadside; London, England",serial
Covent-Garden Journal,1752-01-04,1752-11-25,"Serial; London, England",serial
Crab Tree,1757-04-26,1757-07-26,"Serial; London, England",serial
Craftsman (1726),1726-12-09,1727-05-05,"Serial; London, England",serial
Craftsman (1731),1726-12-05,1726-12-12,"Serial; London, England",serial
Craftsman Extraordinary,1727-10-09,1727-10-09,"Broadside; London, England",serial
Craftsman Extraordinary Containing an Answer,1729-01-01,1729-12-31,"Pamphlet; London, England",
Craftsman Extraordinary upon Acts of Grace,1730-05-01,1730-05-31,"Broadside; London, England",serial
Craftsman or Gray's Inn Journal,1762-09-11,1762-09-11,"Newspaper; London, England",serial
Craftsman or London Intelligencer,1778-04-25,1778-04-25,"Newspaper; London, England",serial
Craftsman or Say's Weekly Journal,1771-01-05,1801-05-16,"Newspaper; London, England",serial
Craftsman's Apology,1732-01-01,1732-12-31,"Monograph; London, England",monograph
Crisis (New York Edition),1775-02-11,1775-02-11,"Serial; New York, United States",serial
Critick,1718-02-17,1718-02-17,"Serial; London, England",serial
Currant Intelligence,1680-03-09,1680-03-09,"Newspaper; London, England",serial
Currant Intelligence or An Impartial Account of Transactions,1680-02-14,1680-03-09,"Newspaper; London, England",serial
Current Intelligence,1666-06-04,1666-08-16,"Newspaper; London, England",serial
Daily Advertiser,1731-02-03,1796-12-31,"Newspaper; London, England",serial
Daily Courant,1702-03-11,1735-06-28,"Newspaper; London, England",serial
Daily Gazetteer (Country Edition),1741-01-05,1741-12-30,"Newspaper; London, England",serial
Daily Gazetteer (London Edition),1735-06-30,1745-09-30,"Newspaper; London, England",serial
Daily Gazetteer or London Advertiser,1748-04-15,1748-04-15,"Newspaper; London, England",serial
Daily Journal,1721-01-24,1737-04-09,"Newspaper; London, England",serial
Daily Post,1719-10-06,1746-02-14,"Newspaper; London, England",serial
Daily Post Boy,1728-11-19,1735-04-25,"Newspaper; London, England",serial
Daily Universal Register,1785-01-01,1787-05-19,"Newspaper; London, England",serial
Dawk's News Letter,1699-06-13,1706-11-16,"Newspaper; London, England",serial
De Non Temerandis Ecclesiis Churches Not to Be Violated,1646-01-01,1646-12-31,"Monograph; Oxford, England",monograph
Declaration of His Maiesties Royall Pleasure in What Sort He Thinketh Fit to Enlarge Or Reserve Himselfe,1619-01-01,1619-12-31,"Monograph; London, England",monograph
Declaration of the Lords and Commons Assembled in Parliament,1642-07-06,1642-07-06,"Broadside; London, England",serial
Declaration of the Queene Mother of the Most Christian King,1639-01-01,1639-12-31,"Pamphlet; London, England",
Declaration Vindication and Protestation of Edward Dobson,1644-01-01,1644-12-31,"Pamphlet; London, England",
Densell Hollis Esq His Speech,1641-05-04,1641-05-04,"Pamphlet; London, England",
Devil,1755-01-18,1755-05-31,"Serial; London, England",serial
Dialogue between a Quaker and His Neighbour in Hertford,1699-01-01,1699-12-31,"Broadside; London, England",serial
Dialogue or Discourse betweene a Parliament Man and a Roman Catholick,1641-07-17,1641-07-17,"Monograph; London, England",monograph
Diary or Woodfall's Register,1789-03-30,1793-08-31,"Newspaper; London, England",serial
Die Lunae 20 Maii 1661 the Lords in Parliament Assembled,1661-05-20,1661-05-20,"Broadside; London, England",serial
Die Lunae 25 March 1644 It Is This Day Ordered by the Commons,1644-03-25,1644-03-25,"Broadside; London, England",serial
Die Saturni 31 Julii 1647 Wee Your Majesties Loyall Subjects the Lords and Commons,1647-07-31,1647-07-31,"Broadside; London, England",serial
Die Veneris 16 Maii 1645 By the Lords and Commons Assembled in Parliament at Westminster,1645-05-16,1645-05-16,"Broadside; London, England",serial
Die Veneris 18 Maii 1660 Upon Complaint This Day Made by the Commons,1660-05-18,1660-05-18,"Broadside; London, England",serial
Director (1720),1720-10-05,1720-10-07,"Serial; London, England",serial
Discourse upon Honour and Peerage,1719-01-01,1719-12-31,"Pamphlet; London, England",
Discreet and Learned Speech Spoken in the Parliament,1642-01-04,1642-01-04,"Pamphlet; London, England",
Diurnal Occurrences or Proceedings in the Parliament,1642-01-08,1642-01-08,"Pamphlet; London, England",
Diurnall Occurences in Parliament,1641-12-27,1641-12-27,"Pamphlet; London, England",
Diurnall Occurences or Daily Proceedings,1640-11-03,1640-11-03,"Monograph; London, England",monograph
Diurnall Occurrances in Parliament (Contayning the Scotch),1642-01-17,1642-01-17,"Pamphlet; London, England",
Diutinus Britanicus Collector of the Affaires of Great Britaine,1647-01-27,1647-02-03,"Newsbook; London, England",serial
Diverting Post,1704-10-28,1705-06-23,"Serial; London, England",serial
Domestick Intelligence or News Both from City and Country,1679-07-07,1681-01-16,"Newspaper; London, England",serial
Dublin Gazette,1708-08-24,1797-12-28,"Newspaper; Dublin, Ireland",serial
Dublin Journal (1725-1726),1725-03-27,1726-02-26,"Newspaper; Dublin, Ireland",serial
Dublin Mercury (1722),1723-03-07,1724-04-20,"Newspaper; Dublin, Ireland",serial
Dublin Mercury (1766),1723-01-08,1770-09-01,"Newspaper; Dublin, Ireland",serial
Dunlap's Pennsylvania Packet or The General Advertiser,1774-06-20,1774-07-18,"Newspaper; Philadelphia, United States",serial
Dutch Ambassador's Speech,1715-01-01,1715-12-31,"Broadside; London, England",serial
E. Johnson's British Gazette and Sunday Monitor,1784-02-15,1803-12-25,"Newspaper; London, England",serial
Earl of Essex His Speech at the Delivering of the Following Petition,1681-01-25,1681-01-25,"Broadside; London, England",serial
Echo or Edinburgh Weekly Journal,1729-05-28,1731-12-22,"Newspaper; Edinburgh, Scotland",serial
England's Memorable Accidents,1642-10-17,1643-01-09,"Newsbook; London, England",serial
English and French News Journal,1723-08-15,1723-08-15,"Newspaper; London, England",serial
English Chronicle,1780-03-18,1780-03-18,"Newspaper; London, England",serial
English Chronicle or UniversalEvening Post,1781-03-29,1800-12-25,"Newspaper; London, England",serial
English Courant,1695-05-25,1695-05-25,"Newspaper; London, England",serial
English Currant,1688-12-12,1689-01-04,"Newspaper; London, England",serial
English Currant or Advice Domestick & Forreign,1679-09-08,1679-09-08,"Newspaper; London, England",serial
English Examiner,1715-02-17,1715-03-10,"Serial; London, England",serial
English Gazette,1680-12-22,1681-01-08,"Newspaper; London, England",serial
English Intelligencer,1679-07-21,1679-08-30,"Newspaper; London, England",serial
English Post Giving an Authentick Account of the Transactions of the World Foreign and Domestick,1700-10-14,1700-12-11,"Newspaper; London, England",serial
English Post with News Foreign and Domestick,1700-12-13,1709-05-06,"Newspaper; London, England",serial
English Spy or The Weekly Observator,1699-08-18,1699-08-18,"Newspaper; London, England",serial
"Englishman (15 February 1714, Number 57)",1714-02-15,1714-02-15,"Serial; London, England",serial
Englishman (1713),1713-10-06,1714-02-09,"Serial; London, England",serial
Englishman (1715),1715-09-26,1715-09-26,"Serial; London, England",serial
Englishman (1779),1779-03-13,1779-06-02,"Serial; London, England",serial
Entertainer,1718-03-05,1718-03-05,"Serial; London, England",serial
Entertainer (1754),1754-09-03,1754-11-19,"Serial; London, England",serial
Epitome of the Weekly News,1682-09-04,1682-09-04,"Newspaper; London, England",serial
Established and Regular Inland Communication,1799-07-18,1799-07-18,"Broadside; London, England",serial
Evening Advertiser,1756-08-24,1758-04-13,"Newspaper; London, England",serial
Evening Courant,1711-07-21,1711-07-21,"Newspaper; London, England",serial
Evening Entertainment,1727-01-27,1727-01-27,"Newspaper; London, England",serial
Evening Journal,1727-12-01,1728-02-06,"Newspaper; London, England",serial
Evening Mail,1789-03-04,1800-12-29,"Newspaper; London, England",serial
Evening Post (1706),1706-08-29,1706-09-03,"Newspaper; London, England",serial
Evening Post (1709),1710-01-19,1730-11-24,"Newspaper; London, England",serial
Evening Post (1740),1740-08-29,1740-08-29,"Newspaper; London, England",serial
Exact Accompt of the Daily Proceedings in Parliament,1660-02-03,1660-03-06,"Newsbook; London, England",serial
Exact Accompt of the Receipts and Disbursments Expended by the Committee of Safety,1660-01-01,1660-12-31,"Pamphlet; London, England",
Exact and Compleat List of All the Prisoners That Have Been Tried at Leverpool,1715-01-01,1715-12-31,"Broadside; London, England",serial
Exact and True Diurnall of the Proceedings in Parliament,1642-08-15,1642-08-29,"Newsbook; London, England",serial
Exact Coranto from Most Parts of Christendom,1642-07-20,1642-07-20,"Newsbook; London, England",serial
Exact Diurnall Faithfully Communicating (Diary or An Exact Journall),1644-07-11,1645-12-18,"Newsbook; London, England",serial
Exact Relation of the Proceedings and Transactions of the Late Parliament,1653-12-12,1653-12-12,"Pamphlet; London, England",
Examiner (1710),1710-08-17,1715-09-10,"Serial; London, England",serial
Examiner or Remarks upon Papers and Occurrences,1710-08-03,1710-08-10,"Serial; London, England",serial
Exchange Intelligencer,1645-06-04,1645-06-04,"Newsbook; London, England",serial
Exeter Mercury or Weekly Intelligence,1716-04-10,1722-01-19,"Newspaper; Exeter, England",serial
Express and Evening Chronicle,1796-04-02,1798-06-21,"Newspaper; London, England",serial
Express from Holland Being An Account of a Terrible and Bloody Fight,1701-09-01,1701-09-30,"Broadside; London, England",serial
Faithful Mercury,1679-07-22,1679-07-25,"Newspaper; London, England",serial
Faithful Scout,1651-04-04,1655-05-18,"Newsbook; London, England",serial
Farley's Exeter Journal,1726-05-20,1728-11-08,"Newspaper; Exeter, England",serial
Fatall Blow or the Most Impious and Treasonable Fact of Hammond,1648-01-01,1648-12-31,"Pamphlet; London, England",
Felix Farley's Bristol Journal,1782-01-05,1789-12-26,"Newspaper; Bristol, England",serial
Fisher Catched in His Owne Net,1623-06-27,1623-06-27,"Pamphlet; London, England",
Flying Eagle,1652-12-04,1652-12-04,"Newsbook; London, England",serial
Flying Post,1695-01-01,1695-11-26,"Newspaper; London, England",serial
Flying Post and Medley,1714-07-27,1714-07-27,"Newspaper; London, England",serial
Flying Post or The Post Master,1696-03-07,1731-02-02,"Newspaper; London, England",serial
Flying Post or The Weekly Medley,1728-10-05,1729-07-26,"Newspaper; London, England",serial
Fog's Weekly Journal,1728-09-28,1737-10-22,"Newspaper; London, England",serial
Foreign and Domestick News with the Pacquet Boat from Holland and Flanders,1695-07-02,1695-07-02,"Newspaper; London, England",serial
Form of the Proceeding to the Royal Coronation of Their Majesties King George II and Queen Carol,1727-10-11,1727-10-11,"Pamphlet; London, England",
Free Briton,1731-09-16,1733-05-24,"Serial; London, England",serial
Free Enquirer,1761-10-17,1761-12-12,"Serial; London, England",serial
Free Holder,1715-12-23,1716-06-29,"Serial; London, England",serial
Free on Board (Coles Godwin & Coles / Lubbock & Co),1781-01-01,1789-12-31,"Form; London, England",serial
Free Thinker (1711),1711-11-17,1711-11-24,"Serial; London, England",serial
Free Thinker (1718),1719-05-08,1721-05-15,"Serial; London, England",serial
Freeholder Extraordinary,1716-03-06,1716-03-06,"Newspaper; London, England",serial
Freeholder's Journal,1722-01-31,1723-05-18,"Serial; London, England",serial
Freeman's Journal or The North-American Intelligencer,1781-04-25,1783-04-16,"Newspaper; Philadelphia, United States",serial
French Intelligencer,1651-11-18,1652-01-27,"Newsbook; London, England",serial
Friendly Intelligence,1679-09-07,1679-09-15,"Newspaper; London, England",serial
Full and Exact Relation of the Great Defeat Given to the Rebels in Hungary,1705-11-11,1705-11-11,"Pamphlet; London, England",
Full Confutation of the Covenant,1639-01-01,1639-12-31,"Monograph; London, England",monograph
Funeral Oration upon the Late King James,1702-01-01,1702-12-31,"Pamphlet; London, England",
Further and More Particular Account of the Late Dreadful Fire at Port Royal in Jamaica,1702-01-09,1702-01-09,"Pamphlet; London, England",
Gazette (Paris),1705-05-30,1705-06-06,"Newspaper; Paris, France",serial
Gazette de Londres,1669-08-12,1703-05-06,"Newspaper; London, England",serial
Gazette de Rotterdam,1705-05-18,1705-05-21,"Newspaper; Rotterdam, Netherlands",serial
Gazetteer and London Daily Advertiser,1754-04-09,1764-04-26,"Newspaper; London, England",serial
Gazetteer and New Daily Advertiser,1764-04-27,1796-07-02,"Newspaper; London, England",serial
Gazzetta di Napoli Foglio Straorinario,1770-10-19,1770-10-19,"Newspaper; Naples, Italy",serial
General Advertiser (1744),1744-03-12,1752-11-30,"Newspaper; London, England",serial
General Advertiser (1784),1784-11-24,1789-03-07,"Newspaper; London, England",serial
General Advertiser (1790),1790-08-16,1790-08-16,"Newspaper; London, England",serial
General Advertiser and Morning Intelligencer,1777-05-24,1782-05-06,"Newspaper; London, England",serial
General Advertiser Liverpool,1777-04-18,1779-08-13,"Newspaper; Liverpool, England",serial
General Bill of All the Christnings and Burials,1755-12-16,1755-12-16,"Broadside; London, England",serial
General Demands Concering the Late Covenant,1638-01-01,1638-12-31,"Monograph; London, England",monograph
General Evening Post,1735-01-02,1800-12-30,"Newspaper; London, England",serial
General London Evening Mercury,1743-12-27,1746-12-30,"Newspaper; London, England",serial
General Post,1711-07-21,1711-08-17,"Newspaper; London, England",serial
General Post Office London Persons Desirous of Being Supplied with Foreign Newspapers,1799-01-01,1799-12-31,"Broadside; London, England",serial
General Remark on Trade,1705-11-16,1707-09-29,"Newspaper; London, England",serial
General Remark or Miscellanies,1708-12-22,1708-12-22,"Newspaper; London, England",serial
Generous London Morning Advertiser,1741-12-21,1742-01-06,"Newspaper; London, England",serial
Gentleman's Journal and Tradesman's Companion,1721-04-15,1721-04-15,"Serial; London, England",serial
George Astor Manufacturer of Musical Instruments and Music Seller,1799-01-01,1799-12-31,"Pamphlet; London, England",
George Faulkner the Dublin Journal,1745-03-23,1747-12-26,"Newspaper; Dublin, Ireland",serial
Gloucester Journal,1727-02-21,1789-02-16,"Newspaper; Gloucester, England",serial
Good Brother in Obedience to Her Majesties Command,1706-04-20,1706-04-20,"Broadside; London, England",serial
Gray's Inn Journal,1753-09-29,1754-09-21,"Serial; London, England",serial
Greeke Postscripts of the Epistles to Timothy and Titus Cleared in Parliament,1641-06-11,1641-06-11,"Pamphlet; London, England",
Grub Street Journal,1730-01-08,1737-12-29,"Newspaper; London, England",serial
Grumbler,1715-06-24,1715-06-28,"Serial; London, England",serial
Guardian,1713-03-12,1713-10-01,"Serial; London, England",serial
